"filename", "language", "Markdown", "Python", "JavaScript", "XML", "JavaScript JSX", "PostCSS", "JSON", "Django HTML", "comment", "blank", "total"
"d:\project\frontend\src\pages\LMS\LIBook.jsx", "JavaScript JSX", 0, 0, 0, 0, 593, 0, 0, 0, 28, 48, 669
"d:\project\frontend\src\pages\LMS\LIR.jsx", "JavaScript JSX", 0, 0, 0, 0, 677, 0, 0, 0, 35, 52, 764
"d:\project\frontend\src\pages\LMS\LMClass.jsx", "JavaScript JSX", 0, 0, 0, 0, 592, 0, 0, 0, 30, 48, 670
"d:\project\frontend\src\pages\LMS\LPrinciple.jsx", "JavaScript JSX", 0, 0, 0, 0, 480, 0, 0, 0, 21, 29, 530
"d:\project\frontend\src\pages\LMS\LRBook.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\project\frontend\src\pages\LMS\Layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\project\frontend\src\pages\LMS\Lprofile.jsx", "JavaScript JSX", 0, 0, 0, 0, 609, 0, 0, 0, 29, 35, 673
"d:\project\frontend\src\pages\Layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"d:\project\frontend\src\pages\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 179, 0, 0, 0, 7, 21, 207
"d:\project\frontend\src\pages\Pricing.jsx", "JavaScript JSX", 0, 0, 0, 0, 130, 0, 0, 0, 0, 7, 137
"d:\project\frontend\src\routes\AuthRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\project\frontend\src\routes\ExportRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\project\frontend\src\routes\LibrianRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"d:\project\frontend\src\routes\PublicRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"d:\project\frontend\tailwind.config.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 1, 8
"d:\project\frontend\vite.config.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 1, 2, 11
"d:\project\main.py", "Python", 0, 49, 0, 0, 0, 0, 0, 0, 0, 8, 57
"Total", "-", 221, 973, 46, 1, 6008, 12, 3864, 13, 342, 921, 12401
