"filename", "language", "Docker", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "Markdown", "JSON", "YAML", "Django HTML", "Ignore", "Python", "pip requirements", "comment", "blank", "total"
"d:\project\backend\lms\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 7
"d:\project\backend\lms\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 1, 7, 73
"d:\project\backend\lms\migrations\0002_alter_class_name_alter_section_name.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 6, 24
"d:\project\backend\lms\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\backend\lms\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 1, 11, 47
"d:\project\backend\lms\serializer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 1, 35, 119
"d:\project\backend\lms\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"d:\project\backend\lms\views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 18, 153
"d:\project\backend\manage.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 5, 23
"d:\project\backend\nurse\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\backend\nurse\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 5
"d:\project\backend\nurse\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 7
"d:\project\backend\nurse\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 1, 7, 42
"d:\project\backend\nurse\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\backend\nurse\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 1, 11, 41
"d:\project\backend\nurse\serializer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 21, 59
"d:\project\backend\nurse\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 4
"d:\project\backend\nurse\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"d:\project\backend\nurse\views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 1, 8, 85
"d:\project\backend\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 19
"d:\project\backend\student\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\backend\student\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 0, 6
"d:\project\backend\student\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 7
"d:\project\backend\student\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 1, 7, 44
"d:\project\backend\student\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\backend\student\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 5, 26
"d:\project\backend\student\serializer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 5, 36
"d:\project\backend\student\tests.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 4
"d:\project\backend\student\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"d:\project\backend\student\views.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 1, 11, 62
"d:\project\backend\tms\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\project\backend\tms\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 6
"d:\project\backend\tms\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 7
